stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_street,stop_city,stop_region,stop_postcode,stop_country,zone_id
AD300,1897,"NORTH RIVER / COLUMBUS",,  45.426281, -75.666946,,,,,,
AD310,8581,"NORTH RIVER / COLUMBUS",,  45.426144, -75.666710,,,,,,
AD320,7092,"QUEEN MARY / NORTH RIVER",,  45.424282, -75.665634,,,,,,
AD330,7328,"QUEEN MARY / NORTH RIVER",,  45.424156, -75.665344,,,,,,
AD340,7091,"QUEEN MARY / MARION",,  45.424255, -75.664192,,,,,,
AD350,7093,"QUEEN MARY / MARION",,  45.424442, -75.663895,,,,,,
AD360,8580,"QUEEN MARY / VANIER",,  45.424545, -75.661964,,,,,,
AD370,8576,"QUEEN MARY / VANIER",,  45.424435, -75.661713,,,,,,
AD380,7097,"QUEEN MARY / VERA",,  45.424522, -75.660316,,,,,,
AD390,7094,"QUEEN MARY / VERA",,  45.424709, -75.659889,,,,,,
AD400,7095,"QUILL / QUEEN MARY",,  45.424908, -75.657486,,,,,,
AD410,7098,"QUILL / QUEEN MARY",,  45.425186, -75.657341,,,,,,
AD420,7096,"QUILL / GLYNN",,  45.425835, -75.657585,,,,,,
AD430,7099,"QUILL / COLUMBUS",,  45.426304, -75.657501,,,,,,
AD440,8577,"DONALD / QUILL",,  45.427608, -75.657387,,,,,,
AD450,8579,"DONALD / QUILL",,  45.427769, -75.657166,,,,,,
AD460,7100,"DONALD / EDITH",,  45.427746, -75.655426,,,,,,
AD470,7103,"DONALD / EVE",,  45.427948, -75.654922,,,,,,
AD508,3578,"DONALD / TELFORD",,  45.428520, -75.646927,,,,,,
AD550,7106,"FRANCES / KING GEORGE",,  45.426460, -75.647423,,,,,,
AD645,7404,"LOLA / DONALD",,  45.427662, -75.652817,,,,,,
AD655,7267,"LOLA / KING GEORGE",,  45.425503, -75.652504,,,,,,
AD660,7114,"LOLA / QUEEN MARY",,  45.425087, -75.652267,,,,,,
AD670,7113,"LOLA / PRESLAND",,  45.423363, -75.651802,,,,,,
AD680,7115,"LOLA / PRESLAND",,  45.423435, -75.651596,,,,,,
AD690,8589,"LOLA / COVENTRY",,  45.421982, -75.650948,,,,,,
AD700,7116,"LOLA / COVENTRY",,  45.421997, -75.650719,,,,,,
AD720,7118,"COVENTRY / AD. 360",,  45.421303, -75.649376,,,,,,
AD730,7117,"COVENTRY / BELFAST",,  45.421520, -75.648277,,,,,,
AD780,5867,"BELFAST / COVENTRY",,  45.420944, -75.647400,,,,,,
AD790,8586,"BELFAST / COVENTRY",,  45.421043, -75.647232,,,,,,
AE040,1836,"TREMBLAY / BELFAST",,  45.418716, -75.646454,,,,,,
AE050,1837,"TREMBLAY / AVENUE N",,  45.418613, -75.646156,,,,,,
AE060,7123,"TREMBLAY / AVENUE P",,  45.418896, -75.644135,,,,,,
AE070,7125,"TREMBLAY / AVENUE P",,  45.418762, -75.644325,,,,,,
AE080,7124,"TREMBLAY / AVENUE R",,  45.419033, -75.642181,,,,,,
AE090,7126,"TREMBLAY / AVENUE R",,  45.418877, -75.642540,,,,,,
